,income_group,region_group,literacy_1524_m,Sex,Location,Wealth,year,Completed_UpSec,Completed_LowSec,Completed_Prim
0,Low income countries,Central and Southern Asia,0.4719,,,,2015.0,,22.220000000000002,34.89
1,Low income countries,Central and Southern Asia,0.7219,,,,2015.0,27.450000000000003,42.370000000000005,65.73
2,Low income countries,Central and Southern Asia,0.5272,,,,2015.0,10.549999999999999,33.79,48.49
3,Low income countries,Central and Southern Asia,0.4405,,,,2015.0,12.690000000000001,12.809999999999999,36.559999999999995
4,Low income countries,Central and Southern Asia,0.5541,,,,2015.0,13.04,27.229999999999997,41.02
5,Low income countries,Central and Southern Asia,0.706,,,,2015.0,23.91,38.79,62.03999999999999
6,Low income countries,Central and Southern Asia,0.6856,,,,2015.0,11.16,23.549999999999997,45.18
7,Low income countries,Central and Southern Asia,0.7417,,,,2015.0,15.58,49.21,56.46
8,Low income countries,Central and Southern Asia,0.5755,,Rural,,2015.0,17.990000000000002,30.709999999999997,48.089999999999996
9,Low income countries,Central and Southern Asia,0.8153,,Urban,,2015.0,38.95,54.98,70.76
10,Low income countries,Central and Southern Asia,0.4543,,Rural,,2015.0,,,28.53
11,Low income countries,Central and Southern Asia,0.6597,,Rural,,2015.0,19.85,43.26,67.97
12,Low income countries,Central and Southern Asia,0.5266,,Rural,,2015.0,10.549999999999999,33.79,48.65
13,Low income countries,Central and Southern Asia,0.441,,Rural,,2015.0,9.78,9.959999999999999,36.94
14,Low income countries,Central and Southern Asia,0.4896,,Rural,,2015.0,10.040000000000001,24.46,36.61
15,Low income countries,Central and Southern Asia,0.6166,,Rural,,2015.0,17.16,31.490000000000002,55.35
16,Low income countries,Central and Southern Asia,0.662,,Rural,,2015.0,,19.21,42.34
17,Low income countries,Central and Southern Asia,0.719,,Rural,,2015.0,13.4,46.58,53.04
18,Low income countries,Central and Southern Asia,0.8262,,Urban,,2015.0,38.43,40.050000000000004,58.709999999999994
19,Low income countries,Central and Southern Asia,0.7469,,Urban,,2015.0,32.76,44.17,63.93
20,Low income countries,Central and Southern Asia,0.8662,,Urban,,2015.0,41.730000000000004,64.52,80.54
21,Low income countries,Central and Southern Asia,0.8569,,Urban,,2015.0,38.080000000000005,71.1,89.69
22,Low income countries,Central and Southern Asia,0.1885,Female,Rural,,2015.0,8.72,17.549999999999997,31.380000000000003
23,Low income countries,Central and Southern Asia,0.5632,Female,Urban,,2015.0,29.68,46.73,63.160000000000004
24,Low income countries,Central and Southern Asia,0.7559,Male,Rural,,2015.0,27.389999999999997,43.71,63.370000000000005
