country,year,country,year,literacy_rates,region_group
Armenia,2000.0,Armenia,2000.0,94677.0,Northern Africa and Western Asia
Armenia,2005.0,Armenia,2005.0,63973.0,Northern Africa and Western Asia
Armenia,2010.0,Armenia,2010.0,59723.0,Northern Africa and Western Asia
Bangladesh,2000.0,Bangladesh,2000.0,25692.0,Central and Southern Asia
Bangladesh,2006.0,Bangladesh,2006.0,527885.0,Central and Southern Asia
Bangladesh,2007.0,Bangladesh,2007.0,96534.0,Central and Southern Asia
Bangladesh,2011.0,Bangladesh,2011.0,159156.0,Central and Southern Asia
Bangladesh,2013.0,Bangladesh,2013.0,839365.0,Central and Southern Asia
Bangladesh,2014.0,Bangladesh,2014.0,108672.0,Central and Southern Asia
Benin,2001.0,Benin,2001.0,31638.0,Sub-Saharan Africa
Benin,2006.0,Benin,2006.0,112512.0,Sub-Saharan Africa
Benin,2012.0,Benin,2012.0,139744.0,Sub-Saharan Africa
Burkina Faso,2003.0,Burkina Faso,2003.0,108917.0,Sub-Saharan Africa
Burkina Faso,2006.0,Burkina Faso,2006.0,7799.0,Sub-Saharan Africa
Burkina Faso,2010.0,Burkina Faso,2010.0,153868.0,Sub-Saharan Africa
Cambodia,2000.0,Cambodia,2000.0,15588.0,Eastern and South-eastern Asia
Cambodia,2005.0,Cambodia,2005.0,111380.0,Eastern and South-eastern Asia
Cambodia,2010.0,Cambodia,2010.0,174702.0,Eastern and South-eastern Asia
Cambodia,2014.0,Cambodia,2014.0,144974.0,Eastern and South-eastern Asia
Cameroon,2004.0,Cameroon,2004.0,123560.0,Sub-Saharan Africa
Cameroon,2006.0,Cameroon,2006.0,52298.0,Sub-Saharan Africa
Cameroon,2011.0,Cameroon,2011.0,171214.0,Sub-Saharan Africa
Cameroon,2014.0,Cameroon,2014.0,38008.0,Sub-Saharan Africa
Chad,2004.0,Chad,2004.0,49828.0,Sub-Saharan Africa
Chad,2010.0,Chad,2010.0,65038.0,Sub-Saharan Africa
Chad,2015.0,Chad,2015.0,110345.0,Sub-Saharan Africa
Colombia,2000.0,Colombia,2000.0,15828.0,Latin America and the Caribbean
Colombia,2005.0,Colombia,2005.0,126388.0,Latin America and the Caribbean
Colombia,2010.0,Colombia,2010.0,27826.0,Latin America and the Caribbean
Colombia,2015.0,Colombia,2015.0,553835.0,Latin America and the Caribbean
D. R. Congo,2007.0,D. R. Congo,2007.0,74140.0,Sub-Saharan Africa
D. R. Congo,2010.0,D. R. Congo,2010.0,93363.0,Sub-Saharan Africa
D. R. Congo,2013.0,D. R. Congo,2013.0,246151.0,Sub-Saharan Africa
Dominican Rep.,2002.0,Dominican Rep.,2002.0,111506.0,Latin America and the Caribbean
Dominican Rep.,2007.0,Dominican Rep.,2007.0,382308.0,Latin America and the Caribbean
Dominican Rep.,2013.0,Dominican Rep.,2013.0,118425.0,Latin America and the Caribbean
Dominican Rep.,2014.0,Dominican Rep.,2014.0,250768.0,Latin America and the Caribbean
Egypt,2000.0,Egypt,2000.0,22767.0,Northern Africa and Western Asia
Egypt,2005.0,Egypt,2005.0,87079.0,Northern Africa and Western Asia
Egypt,2008.0,Egypt,2008.0,76752.0,Northern Africa and Western Asia
Egypt,2014.0,Egypt,2014.0,164600.0,Northern Africa and Western Asia
Eswatini,2006.0,Eswatini,2006.0,81581.0,Sub-Saharan Africa
Eswatini,2010.0,Eswatini,2010.0,26536.0,Sub-Saharan Africa
Eswatini,2014.0,Eswatini,2014.0,20578.0,Sub-Saharan Africa
Ethiopia,2000.0,Ethiopia,2000.0,78929.0,Sub-Saharan Africa
Ethiopia,2005.0,Ethiopia,2005.0,137920.0,Sub-Saharan Africa
Ethiopia,2011.0,Ethiopia,2011.0,250275.0,Sub-Saharan Africa
Ethiopia,2016.0,Ethiopia,2016.0,103146.0,Sub-Saharan Africa
Ghana,2003.0,Ghana,2003.0,53228.0,Sub-Saharan Africa
Ghana,2006.0,Ghana,2006.0,51962.0,Sub-Saharan Africa
Ghana,2008.0,Ghana,2008.0,89359.0,Sub-Saharan Africa
